analysis,bootstrap_unit,domain,method,condition,metric,n_boot,n,mean,median,ci95_lo,ci95_hi,n_parent_events
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.0,constraint_violation,10000.0,1350.0,0.4674074074074074,0.0,0.44074074074074077,0.49407407407407405,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.0,overhead_proxy,10000.0,1350.0,0.8159259259259259,1.0,0.802962962962963,0.8288888888888889,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.3,risk_delivery,10000.0,1350.0,0.6772555393031076,0.773580129178224,0.6610841256329356,0.6929468415394952,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.3,p95_latency_ms,10000.0,1315.0,399.40068454276985,392.4629806743717,393.6295731381903,405.28007929064165,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.3,constraint_violation,10000.0,1350.0,0.542962962962963,1.0,0.5162962962962963,0.5696296296296296,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.3,overhead_proxy,10000.0,1350.0,0.8392592592592593,1.0,0.8266666666666667,0.8514814814814815,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.6,risk_delivery,10000.0,1350.0,0.6398745499624762,0.740694226296585,0.6224978203249146,0.6573153487772322,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.6,p95_latency_ms,10000.0,1297.0,398.78278172622254,389.284206293073,392.8140087786153,404.85095457632065,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.6,constraint_violation,10000.0,1350.0,0.5562962962962963,1.0,0.5296296296296297,0.582962962962963,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.6,overhead_proxy,10000.0,1350.0,0.8437037037037037,1.0,0.8314814814814815,0.855925925925926,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.9,risk_delivery,10000.0,1350.0,0.611596740233846,0.7295684945984594,0.5924879923986525,0.6306420931704113,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.9,p95_latency_ms,10000.0,1216.0,393.80657045069364,385.5565913970581,387.51469933996054,400.04934009505473,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.9,constraint_violation,10000.0,1350.0,0.5703703703703704,1.0,0.5437037037037037,0.5962962962962963,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,correlation,AI_BEWARN,failure_correlation=0.9,overhead_proxy,10000.0,1350.0,0.8451851851851852,1.0,0.832962962962963,0.8574074074074074,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.3,risk_delivery,10000.0,1350.0,0.8505060336543171,0.9380154594095877,0.8384075537634681,0.8626310284154158,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.3,p95_latency_ms,10000.0,1340.0,193.77053436039785,188.26329180855765,192.15506306771843,195.43167470141742,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.3,constraint_violation,10000.0,1350.0,0.22962962962962963,0.0,0.2074074074074074,0.2525925925925926,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.3,overhead_proxy,10000.0,1350.0,0.7066666666666667,0.5,0.6933333333333334,0.7196296296296296,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,congestion,AI_BEWARN,load_level=0.6,risk_delivery,10000.0,1350.0,0.8398771753405535,0.921402299676173,0.8277365334045516,0.8512940693992624,
